Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0311301W;Ecole maternelle publique Georges Bastide;Ecole;Public;7 rue du Recteur Dottin;;31100 TOULOUSE;31100;31555;Toulouse;031;16;76;1;0;;;;0665631924;;;ce.0311301W@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;REP+;;21310555400595;83;;43.56070162449583, 1.3976505904727765;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;570499.9;6274829.1;EPSG:2154;Circonscription d'inspection du 1er degré de Toulouse Reynerie - Sept Deniers;43.56070162449583;1.3976505904727765;Numéro de rue;1969-07-18;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0311630D;;;0312826D;;;16126;TOULOUSE OUEST
0311389S;Ecole maternelle publique Vinsonneau;Ecole;Public;Rue Delmas;;31380 MONTASTRUC LA CONSEILLERE;31380;31358;Montastruc-la-Conseillère;031;16;76;1;0;;;;0534261980;;;ce.0311389S@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310358300034;142;;43.725368436220336, 1.5812301878356154;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;585663.7;6292842.9;EPSG:2154;Circonscription d'inspection du 1er degré de Rouffiac-Tolosan;43.725368436220336;1.5812301878356154;Numéro de rue;1970-05-28;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0311094W;;;0311101D;;;16110;TOULOUSE NORD
0311441Y;Ecole primaire privée Notre-Dame de La Paix;Ecole;Privé;4 rue René Vidal;;31560 CALMONT;31560;31100;Calmont;031;16;76;1;1;;;;0561081570;;;ce.0311441Y@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;77678440700012;76;;43.28459425852427, 1.6330698897812934;CONTRAT D'ASSOCIATION TOUTES CLASSES;Haute-Garonne;Toulouse;Occitanie;588992.9;6243785.4;EPSG:2154;Circonscription d'inspection du 1er degré de Villefranche de Lauragais;43.28459425852427;1.6330698897812934;Numéro de rue;1971-03-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0311968W;;;0311942T;;;16128;TOULOUSE EST
0311455N;Ecole primaire privée Sainte-Thérèse;Ecole;Privé;Route de Paulhac;;31380 MONTASTRUC LA CONSEILLERE;31380;31358;Montastruc-la-Conseillère;031;16;76;1;1;;;;0561844405;;;ce.0311455N@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;77681853600018;121;;43.72735167122405, 1.5801000888520553;CONTRAT D'ASSOCIATION TOUTES CLASSES;Haute-Garonne;Toulouse;Occitanie;585576.6;6293064.9;EPSG:2154;Circonscription d'inspection du 1er degré de Rouffiac-Tolosan;43.72735167122405;1.5801000888520553;Numéro de rue;1971-03-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0311965T;;;0311101D;;;16110;TOULOUSE NORD
0311464Y;Ecole primaire privée Sainte-Thérèse;Ecole;Privé;16 rue du Bugatet;;31800 ST GAUDENS;31800;31483;Saint-Gaudens;031;16;76;1;1;;;;0562009510;;;ce.0311464Y@ac-toulouse.fr;1;0;1;;;;;;;;;;;;;;;77684512500033;376;;43.10579136663826, 0.7211095794422547;CONTRAT D'ASSOCIATION TOUTES CLASSES;Haute-Garonne;Toulouse;Occitanie;514376.3;6225625.1;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Gaudens;43.10579136663826;0.7211095794422547;Numéro de rue;1971-03-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0311968W;;;0311108L;;;16106;COMMINGES
0311479P;Ecole primaire privée Notre-Dame;Ecole;Privé;42 bis rue des 36 Ponts;;31000 TOULOUSE;31000;31555;Toulouse;031;16;76;1;1;;;;0534319670;;;ce.0311479P@ac-toulouse.fr;1;1;0;;;;;;;;;;;;;;;75348766900016;295;;43.59067983955326, 1.4475105192474165;CONTRAT D'ASSOCIATION TOUTES CLASSES;Haute-Garonne;Toulouse;Occitanie;574594.5;6278079.8;EPSG:2154;Circonscription d'inspection du 1er degré de Toulouse Empalot - Lardenne;43.59067983955326;1.4475105192474165;Numéro de rue;1971-03-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0311168B;;;0312793T;;;16109;TOULOUSE CENTRE
0311491C;Ecole primaire privée Saint Joseph - La Salle;Ecole;Privé;85 rue de Limayrac;;31500 TOULOUSE;31500;31555;Toulouse;031;16;76;1;1;;;;0562477158;;;ce.0311491C@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;77694419100050;534;;43.593292101689045, 1.4740410642717956;CONTRAT D'ASSOCIATION TOUTES CLASSES;Haute-Garonne;Toulouse;Occitanie;576742.9;6278328.3;EPSG:2154;Circonscription d'inspection du 1er degré de Toulouse Rangueil - Les Carmes;43.593292101689045;1.4740410642717956;Numéro de rue;1971-03-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0311968W;;;0312825C;;;16109;TOULOUSE CENTRE
0311497J;Ecole primaire privée Sainte-Marie des Ursulines;Ecole;Privé;34 avenue de la Colonne;;31000 TOULOUSE;31000;31555;Toulouse;031;16;76;1;1;;;;0534252861;;;ce.0311497J@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;77694418300024;186;;43.60870543691201, 1.459450048155047;CONTRAT D'ASSOCIATION TOUTES CLASSES;Haute-Garonne;Toulouse;Occitanie;575597.9;6280063.9;EPSG:2154;Circonscription d'inspection du 1er degré de Toulouse Jolimont -Borderouge;43.60870543691201;1.459450048155047;Numéro de rue;1971-03-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0311968W;;;0312824B;;;16109;TOULOUSE CENTRE
0311500M;Ecole primaire privée Saint-Stanislas;Ecole;Privé;22 rue des Fleurs;;31000 TOULOUSE;31000;31555;Toulouse;031;16;76;1;1;;;;0561524992;;;ce.0311500M@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;77694420900019;359;;43.594125773929214, 1.4465096817555143;CONTRAT D'ASSOCIATION TOUTES CLASSES;Haute-Garonne;Toulouse;Occitanie;574521.2;6278464.3;EPSG:2154;Circonscription d'inspection du 1er degré de Toulouse Jolimont -Borderouge;43.594125773929214;1.4465096817555143;Numéro de rue;1971-03-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;0311168B;;;0312824B;;;16109;TOULOUSE CENTRE
0311550S;Ecole maternelle publique Camille Claudel;Ecole;Public;2 place Tel Aviv;;31100 TOULOUSE;31100;31555;Toulouse;031;16;76;1;0;;;;0664586609;;;ce.0311550S@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;REP+;;21310555400173;96;;43.56525573095224, 1.398110105799096;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;570547.3;6275334.4;EPSG:2154;Circonscription d'inspection du 1er degré de Toulouse Reynerie - Sept Deniers;43.56525573095224;1.398110105799096;Numéro de rue;1971-06-17;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0311630D;;;0312826D;;;16126;TOULOUSE OUEST
0311551T;Ecole maternelle publique Littré;Ecole;Public;215 chemin de Tournefeuille;;31300 TOULOUSE;31300;31555;Toulouse;031;16;76;1;0;;;;0699121225;;;ce.0311551T@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;REP;;21310555400249;90;;43.607807318841196, 1.377769411489295;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;569000.9;6280096.2;EPSG:2154;Circonscription d'inspection du 1er degré de Toulouse Reynerie - Sept Deniers;43.607807318841196;1.377769411489295;Numéro de rue;1971-06-17;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0310037X;;;0312826D;;;16126;TOULOUSE OUEST
0311556Y;Ecole maternelle publique le Ramier;Ecole;Public;Rue de la Poste;;31150 FENOUILLET;31150;31182;Fenouillet;031;16;76;1;0;;;;0561702017;;;ce.0311556Y@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310182700037;109;;43.67954746576589, 1.3917104825364701;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;570288.9;6288044.5;EPSG:2154;Circonscription d'inspection du 1er degré de Blagnac;43.67954746576589;1.3917104825364701;Numéro de rue;1971-06-17;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0312423R;;;0312602K;;;16110;TOULOUSE NORD
0311559B;Ecole maternelle publique;Ecole;Public;2 chemin d'Artigaut;;31310 RIEUX VOLVESTRE;31310;31455;Rieux-Volvestre;031;16;76;1;0;;;;0561871081;;;ce.0311559B@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310455700029;86;;43.25909563789507, 1.1960499732485204;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;553443.6;6241664.1;EPSG:2154;Circonscription d'inspection du 1er degré de Rieux-Volvestre;43.25909563789507;1.1960499732485204;Numéro de rue;1971-06-17;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0310012V;;;0311109M;;;16107;MURET
0311564G;Ecole élémentaire publique Jules Ferry;Ecole;Public;Rue Jules Ferry;;31490 LEGUEVIN;31490;31291;Léguevin;031;16;76;0;1;;;;0561866014;;;ce.0311564G@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310291600029;265;;43.59730621323993, 1.232439379381107;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;557240.9;6279181.3;EPSG:2154;Circonscription d'inspection du 1er degré de Leguevin;43.59730621323993;1.232439379381107;Numéro de rue;1971-06-17;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0312337X;;;0312920F;;;16127;TOULOUSE NORD-OUEST
0311598U;Ecole primaire publique Le Barry;Ecole;Public;5 rue Jean Lestrade;;31600 MURET;31600;31395;Muret;031;16;76;1;1;;;;0561511995;;;ce.0311598U@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310395500059;369;;43.45221395277181, 1.332479636667936;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;564979.0;6262882.7;EPSG:2154;Circonscription d'inspection du 1er degré de Muret;43.45221395277181;1.332479636667936;Numéro de rue;1972-06-05;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311319R;;;0311339M;;;16107;MURET
0311601X;Ecole élémentaire publique Les Gais Pinsons;Ecole;Public;6 rue des Gais Pinsons;;31300 TOULOUSE;31300;31555;Toulouse;031;16;76;0;1;;;;0665643770;;;ce.0311601X@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310555401858;204;;43.603718322147174, 1.4091406113612275;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;571524.7;6279590.3;EPSG:2154;Circonscription d'inspection du 1er degré de Toulouse Fleurance - Matabiau;43.603718322147174;1.4091406113612275;Numéro de rue;1972-06-05;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311327Z;;;0312827E;;;16126;TOULOUSE OUEST
0311612J;Ecole maternelle publique Paul Langevin;Ecole;Public;Avenue Marie Curie;;31600 SEYSSES;31600;31547;Seysses;031;16;76;1;0;;;;0561562400;;;ce.0311612J@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310547100022;186;;43.49485638875793, 1.310940572707997;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;563336.6;6267658.4;EPSG:2154;Circonscription d'inspection du 1er degré de Fonsorbes;43.49485638875793;1.310940572707997;Numéro de rue;1972-06-02;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0312071H;;;0312628N;;;16108;TOULOUSE SUD-OUEST
0311626Z;Ecole primaire publique Catala;Ecole;Public;4 rue de Ribaute;;31650 ST ORENS DE GAMEVILLE;31650;31506;Saint-Orens-de-Gameville;031;16;76;1;1;;;;0561208134;;;ce.0311626Z@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310506700036;194;;43.571440982923114, 1.5162397702289059;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;580105.4;6275835.2;EPSG:2154;Circonscription d'inspection du 1er degré de Labège;43.571440982923114;1.5162397702289059;Numéro de rue;1972-09-13;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311850T;;;0311103F;;;16128;TOULOUSE EST
0311649Z;Ecole élémentaire publique Yvette Raynaud;Ecole;Public;1 avenue des églantiers;;31120 ROQUES;31120;31458;Roques;031;16;76;0;1;;;;0561767876;;;ce.0311649Z@ac-toulouse.fr;1;0;1;;;;;;;;;;;;;;;21310458100029;248;;43.509943080577905, 1.3760402103409919;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;568637.6;6269224.4;EPSG:2154;Circonscription d'inspection du 1er degré de Portet sur Garonne;43.509943080577905;1.3760402103409919;Numéro de rue;1973-06-13;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311093V;;;0311105H;;;16108;TOULOUSE SUD-OUEST
0311658J;Ecole maternelle publique Joséphine Baker;Ecole;Public;Rue des Arbousiers;;31240 ST JEAN;31240;31488;Saint-Jean;031;16;76;1;0;;;;0532096811;;;ce.0311658J@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310488800069;139;;43.67153234967716, 1.5001994612251328;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;579020.7;6286981.7;EPSG:2154;Circonscription d'inspection du 1er degré de Rouffiac-Tolosan;43.67153234967716;1.5001994612251328;Numéro de rue;1973-06-14;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0311094W;;;0311101D;;;16110;TOULOUSE NORD
0311678F;Ecole élémentaire publique;Ecole;Public;Village;;31540 MOURVILLES HAUTES;31540;31393;Mourvilles-Hautes;031;16;76;0;1;;;;0562711232;;;ce.0311678F@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310393000029;39;;43.42586036788214, 1.817330371671962;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;604190.5;6259245.2;EPSG:2154;Circonscription d'inspection du 1er degré de Lanta;43.42586036788214;1.817330371671962;Numéro de rue;1992-09-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031004;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311690U;;;0311102E;;;16128;TOULOUSE EST
0311679G;Ecole maternelle publique;Ecole;Public;2 rue de la Gare;;31360 BOUSSENS;31360;31084;Boussens;031;16;76;1;0;;;;0561900251;;;ce.0311679G@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310084500030;44;;43.1769182412403, 0.9715498212959085;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;534973.9;6232973.9;EPSG:2154;Circonscription d'inspection du 1er degré de Rieux-Volvestre;43.1769182412403;0.9715498212959085;Numéro de rue;1973-10-19;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031047;101;ECOLE MATERNELLE;99;0310012V;;;0311109M;;;16106;COMMINGES
0311682K;Ecole maternelle publique;Ecole;Public;178 rue des Ecoles;;31330 MERVILLE;31330;31341;Merville;031;16;76;1;0;;;;0534529053;;;ce.0311682K@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310341900031;180;;43.721865596084285, 1.2911396240548112;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;562280.7;6292916.7;EPSG:2154;Circonscription d'inspection du 1er degré de Fronton;43.721865596084285;1.2911396240548112;Numéro de rue;1973-10-19;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0312729Y;;;0312789N;;;16127;TOULOUSE NORD-OUEST
0311698C;Ecole maternelle publique;Ecole;Public;1 rue du château d'eau;;31410 NOE;31410;31399;Noé;031;16;76;1;0;;;;0561875494;;;ce.0311698C@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310399700036;123;;43.35824533998561, 1.2775505909221367;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;560304.2;6252535.5;EPSG:2154;Circonscription d'inspection du 1er degré d'Auterive;43.35824533998561;1.2775505909221367;Numéro de rue;1974-05-20;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0311580Z;;;0313170C;;;16107;MURET
0311708N;Ecole élémentaire publique;Ecole;Public;19 rue Victor Hugo;;31800 LABARTHE RIVIERE;31800;31247;Labarthe-Rivière;031;16;76;0;1;;;;0561891737;;;ce.0311708N@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310247800020;64;;43.077436702835534, 0.671289721510572;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;510226.5;6222592.3;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Gaudens;43.077436702835534;0.671289721510572;Numéro de rue;1974-09-10;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310083X;;;0311108L;;;16106;COMMINGES
0311777N;Ecole maternelle publique Vasconia;Ecole;Public;35 rue Gustave Saint-Jean;;31600 MURET;31600;31395;Muret;031;16;76;1;0;;;;0561512810;;;ce.0311777N@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310395500083;77;;43.459447893921265, 1.3234297335720457;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;564263.4;6263702.1;EPSG:2154;Circonscription d'inspection du 1er degré de Muret;43.459447893921265;1.3234297335720457;Numéro de rue;1976-05-25;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0311319R;;;0311339M;;;16107;MURET
0311781T;Ecole maternelle publique Hélène Boucher;Ecole;Public;2 rue du Château d'Eau;;31770 COLOMIERS;31770;31149;Colomiers;031;16;76;1;0;;;;0561635051;;;ce.0311781T@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310149600031;121;;43.61616163953979, 1.3367497285490142;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;565708.5;6281093.4;EPSG:2154;Circonscription d'inspection du 1er degré de Colomiers;43.61616163953979;1.3367497285490142;Numéro de rue;1976-05-25;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0311325X;;;0312141J;;;16127;TOULOUSE NORD-OUEST
0311791D;Ecole maternelle publique le chêne vert;Ecole;Public;4 rue du Chêne Vert;;31150 GAGNAC SUR GARONNE;31150;31205;Gagnac-sur-Garonne;031;16;76;1;0;;;;0561351990;;;ce.0311791D@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310205600032;105;;43.69693741845062, 1.3752365361882155;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;569000.2;6290003.9;EPSG:2154;Circonscription d'inspection du 1er degré de Blagnac;43.69693741845062;1.3752365361882155;Numéro de rue;1976-05-25;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0312423R;;;0312602K;;;16110;TOULOUSE NORD
0311797K;Ecole maternelle publique Jean Jaurès;Ecole;Public;1 ter avenue de Saubens;;31860 PINS JUSTARET;31860;31421;Pins-Justaret;031;16;76;1;0;;;;0561762557;;;ce.0311797K@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310421900026;150;;43.47761187330407, 1.3778987488286143;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;568714.1;6265628.5;EPSG:2154;Circonscription d'inspection du 1er degré de Muret;43.47761187330407;1.3778987488286143;Rue;1976-06-24;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0312611V;;;0311339M;;;16107;MURET
0311881B;Ecole maternelle publique George Sand;Ecole;Public;7 rue George Sand;;31120 PORTET SUR GARONNE;31120;31433;Portet-sur-Garonne;031;16;76;1;0;;;;0561721165;;;ce.0311881B@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310433400056;49;;43.51455707692713, 1.3898799546813052;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;569767.4;6269714.2;EPSG:2154;Circonscription d'inspection du 1er degré de Portet sur Garonne;43.51455707692713;1.3898799546813052;Numéro de rue;1977-05-20;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0311093V;;;0311105H;;;16108;TOULOUSE SUD-OUEST
0311889K;Ecole maternelle publique;Ecole;Public;Chemin de Muret;;31410 LONGAGES;31410;31303;Longages;031;16;76;1;0;;;;0561875384;;;ce.0311889K@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310303900037;121;;43.36017937341909, 1.2520398898030125;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;558240.3;6252795.9;EPSG:2154;Circonscription d'inspection du 1er degré d'Auterive;43.36017937341909;1.2520398898030125;Rue;1977-09-20;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0311580Z;;;0313170C;;;16107;MURET
0311960M;Ecole maternelle publique Léonce Bourliaguet;Ecole;Public;73 rue Aristide Maillol;;31100 TOULOUSE;31100;31555;Toulouse;031;16;76;1;0;;;;0626343180;;;ce.0311960M@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;REP;;21310555402054;88;;43.57734563843797, 1.3958700997901572;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;570393.6;6276681.5;EPSG:2154;Circonscription d'inspection du 1er degré de Toulouse Empalot - Lardenne;43.57734563843797;1.3958700997901572;Numéro de rue;1980-09-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0311718Z;;;0312793T;;;16126;TOULOUSE OUEST
0312004K;Ecole maternelle d'application Maurice Bécanne;Ecole;Public;3 impasse Boutinon;;31300 TOULOUSE;31300;31555;Toulouse;031;16;76;1;0;;;;0603526195;;;ce.0312004K@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310555400322;90;;43.581867721665674, 1.4263744660792073;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;572867.9;6277134.4;EPSG:2154;Circonscription d'inspection du 1er degré de Toulouse Empalot - Lardenne;43.581867721665674;1.4263744660792073;Numéro de rue;1981-09-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;103;ECOLE MATERNELLE D APPLICATION;99;0311718Z;;;0312793T;;;16126;TOULOUSE OUEST
0312026J;Ecole maternelle publique Le Magnolia;Ecole;Public;Place de la Mairie;;31340 VACQUIERS;31340;31563;Vacquiers;031;16;76;1;0;;;;0561845710;;;ce.0312026J@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310563800034;59;;43.77783943242174, 1.4790194216381491;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;577540.0;6298826.2;EPSG:2154;Circonscription d'inspection du 1er degré de Bruguières;43.77783943242174;1.4790194216381491;Numéro de rue;1982-09-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;0312478A;;;0311100C;;;16127;TOULOUSE NORD-OUEST
0312030N;Ecole élémentaire publique Les Fontanelles;Ecole;Public;Rue de la Noze;;31320 CASTANET TOLOSAN;31320;31113;Castanet-Tolosan;031;16;76;0;1;;;;0561757955;;;ce.0312030N@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310113200040;142;;43.52347738440504, 1.5044798622244127;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;579054.3;6270523.2;EPSG:2154;Circonscription d'inspection du 1er degré de Labège;43.52347738440504;1.5044798622244127;Numéro de rue;1982-09-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311633G;;;0311103F;;;16128;TOULOUSE EST
0312035U;Ecole élémentaire publique Pierre Mendès France;Ecole;Public;Rue Emile Zola;;31520 RAMONVILLE ST AGNE;31520;31446;Ramonville-Saint-Agne;031;16;76;0;1;;;;0561756707;;;ce.0312035U@ac-toulouse.fr;1;0;1;;;;;;;;;;;;;;;21310446600106;165;;43.540584461869976, 1.4852301533459573;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;577534.2;6272453.9;EPSG:2154;Circonscription d'inspection du 1er degré de Labège;43.540584461869976;1.4852301533459573;Numéro de rue;1982-09-01;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311633G;;;0311103F;;;16128;TOULOUSE EST
0312072J;Ecole élémentaire publique de Gansac-sur-Garonne;Ecole;Public;110 route de Montesquieu;;31310 GENSAC SUR GARONNE;31310;31219;Gensac-sur-Garonne;031;16;76;0;1;;;;0561901942;;;ce.0312072J@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310219700026;45;;43.21353415761421, 1.1383144230103293;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;548634.5;6236709.3;EPSG:2154;Circonscription d'inspection du 1er degré de Rieux-Volvestre;43.21353415761421;1.1383144230103293;Numéro de rue;1983-03-14;2024-11-26;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031014;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310012V;;;0311109M;;;16106;COMMINGES
